,5132_kneaddata_Abundance,5145_kneaddata_Abundance,5188_kneaddata_Abundance,5210_kneaddata_Abundance,5401_kneaddata_Abundance,5406_kneaddata_Abundance,5409_kneaddata_Abundance,5411_kneaddata_Abundance,5414_kneaddata_Abundance,5136_kneaddata_Abundance,5140_kneaddata_Abundance,5141_kneaddata_Abundance,5192_kneaddata_Abundance,5194_kneaddata_Abundance,5403_kneaddata_Abundance,5404_kneaddata_Abundance,193_kneaddata_Abundance,179_kneaddata_Abundance,180_kneaddata_Abundance,181_kneaddata_Abundance,183_kneaddata_Abundance,184_kneaddata_Abundance,189_kneaddata_Abundance,190_kneaddata_Abundance,176_kneaddata_Abundance,185_kneaddata_Abundance,981_kneaddata_Abundance,984_kneaddata_Abundance
ENSMUSG00000028639,7.685886877,7.546722969,7.966140365,7.860458915,7.961383217,7.76072098,7.820791989,7.773749046,7.535492955,8.106122088,7.815470714,7.668596814,7.928199438,7.762795963,8.009771113,7.766280221,7.704150997,7.928748317,7.421076909,7.567371693,7.925087486,7.854616971,7.917112386,7.356781003,7.700739486,7.455327829,7.95305563,7.624911417
ENSMUSG00000028643,4.08451662,3.726216679,3.92056516,4.212582207,4.037110544,3.474125958,3.612338759,3.8462113,4.216012181,4.650997024,3.563444633,3.951184017,4.332729279,3.873499427,3.945118155,4.003779535,4.310777042,4.187594926,3.646990833,4.169779328,4.313875087,3.824869628,4.398102958,4.101590716,4.450254758,3.489941584,4.559742902,4.102533453
ENSMUSG00000028644,4.026801122,4.883757956,3.840394812,3.915600469,4.547305276,3.564323767,3.684488545,3.681152054,4.264106469,3.764653806,4.236634316,3.4206693,3.35782026,4.038558674,3.879529813,4.366349614,4.265689152,4.489250625,4.242149101,4.030054564,3.857496792,3.190997527,3.57498072,4.806583921,4.417464822,4.86077928,4.284108459,4.047038341
ENSMUSG00000028645,7.222662912,6.457622748,6.318442109,7.298070106,6.987069861,7.007769682,5.904365368,6.136603821,5.955420951,6.342311506,6.994236203,6.880100919,6.062081689,6.375999768,6.892056911,6.632243674,6.152595374,6.426666088,6.086755419,5.908962747,6.282981079,7.029984058,6.166095448,5.894759732,6.65751591,6.406747649,6.970854698,6.238799144
ENSMUSG00000028646,5.631259798,5.841693896,5.968499638,5.819740454,5.562572033,6.112386685,5.889178964,5.816667024,5.895611556,6.051176565,5.788619495,5.978664754,5.81272222,5.771619813,6.000159518,5.888915578,5.804109067,5.99973491,5.918950469,6.186330504,6.082283728,6.327369969,5.740789613,5.848404096,5.813725115,5.998282804,5.885846673,5.874458886
ENSMUSG00000028647,3.966680129,3.726216679,3.996514014,3.309879408,3.636572614,4.0745185,3.536389906,4.251467778,3.690921136,4.274848539,4.284728605,3.710175918,3.709292631,3.687086303,3.662718424,4.003779535,3.842998081,3.970783537,3.820322436,3.928771228,3.923085134,4.522841091,4.311946314,4.061513277,3.905258664,3.917362808,3.405414755,3.800877754
ENSMUSG00000028648,6.186878337,6.018243288,6.02399475,6.152639666,5.562572033,5.886251862,5.744789055,5.713573531,5.84906897,6.427618819,6.446748408,6.479562989,6.326387752,6.009014398,6.089889679,5.568978781,6.50272835,6.195958399,6.588257009,6.635251549,6.481080587,5.816832309,6.141327543,6.722337792,6.719355164,6.16334205,5.852097881,6.039948916
ENSMUSG00000028649,8.407858429,8.393555707,8.5232891,8.552846361,8.294212619,8.306199276,8.378145481,8.352719925,8.289019039,8.140219865,8.259378272,8.218450896,8.337467198,8.389438142,8.312799845,8.642917176,8.33416889,8.267141725,8.293300587,8.157240132,7.896798442,8.195653889,8.21883691,8.276995007,8.265692026,8.192293424,8.458245712,8.333165714
ENSMUSG00000028651,3.838356032,3.195701962,3.465999297,3.430173642,2.693156142,3.877481653,3.456219557,3.391645436,3.690921136,3.11257711,3.711543272,3.951184017,4.172264607,2.529545026,3.497659178,3.518352708,3.780262325,3.405186361,3.518666736,4.030054564,3.985820889,4.310296455,3.962003843,3.889046081,3.905258664,3.155522545,3.660671811,3.232593994
ENSMUSG00000028653,4.244981292,3.798366465,3.996514014,3.178634875,3.51627838,4.011782744,4.159826554,3.681152054,4.166259146,4.212112783,4.420080457,3.619978109,4.114549109,4.320958404,3.879529813,3.247050686,4.219146567,4.04673239,3.925291996,4.169779328,4.212591751,3.690568536,3.904288346,4.419560798,4.278302075,4.413320303,3.736620664,3.929201851
ENSMUSG00000028654,4.520615734,4.418094384,4.977898336,4.852406643,4.825606438,4.301289361,4.159826554,3.8462113,4.399458322,4.334969531,5.040491794,3.795064815,3.92610402,4.851473121,4.00785391,4.170429404,4.478233788,5.204273667,3.820322436,4.030054564,4.735012785,4.63679728,4.311946314,4.653233144,4.513680138,4.058225344,4.990377256,4.207503013
ENSMUSG00000028655,5.153558264,4.273704474,5.120502731,4.668960502,4.774076138,4.962873144,5.147115503,5.04614887,4.600155672,4.828784144,5.148407133,4.393702253,5.186339792,5.304838739,5.348082822,4.958925299,5.002654747,5.101180174,4.568135413,4.522450946,5.373746543,5.321701218,5.031045488,4.782130877,4.844886046,5.231873432,5.192685431,5.003969619
ENSMUSG00000028656,4.715872026,4.371551798,4.325821639,5.444528935,4.350268429,4.628454105,4.349304353,4.418117648,4.441893588,5.06010969,4.923846875,4.498671812,4.608363722,4.759842646,5.395779564,4.061495033,4.438156348,5.028116712,4.39618273,4.169779328,4.103657379,4.599803072,4.698969438,4.061513277,4.661021854,3.917362808,4.517307635,4.305350336
ENSMUSG00000028657,6.472787209,6.468720457,6.362163486,6.521027072,6.427344652,6.58062558,6.387632472,6.411544994,6.147150323,6.454969307,6.230508214,6.504985586,6.179319364,6.391347732,6.174364247,6.5438878,6.50272835,6.732873725,6.287158836,6.351982659,6.555353349,6.209533478,6.306386789,6.308370939,6.470376354,6.083171701,6.31540459,6.617786982
ENSMUSG00000028664,4.026801122,4.463182273,4.265700647,4.212582207,4.607426268,3.649212665,4.304216464,4.567495272,4.166259146,3.11257711,3.908580119,4.22037065,3.991692361,4.851473121,4.335908108,4.366349614,4.219146567,4.253183267,4.158491172,4.623144946,4.159152492,4.215659581,3.781431598,4.706182024,3.905258664,4.86077928,4.123643787,4.102533453
ENSMUSG00000028668,4.981946886,4.323457509,5.086151226,4.763597376,4.665141766,5.390294368,5.013437067,4.976607937,4.872527943,5.163203183,4.796934763,4.688149611,4.874878696,5.095891849,5.139765585,4.617888381,4.917765849,4.489250625,4.987219745,4.805622998,4.77108204,5.127432398,4.828737313,4.782130877,4.893384564,4.740485046,4.791068448,5.032824482
ENSMUSG00000028669,6.636092952,6.435167897,7.019450825,6.757861006,6.686203382,7.167388074,6.945322042,7.092085155,6.868644508,6.802408728,6.920045305,7.09623435,7.058259978,6.95322662,6.941105092,6.742216516,6.792234967,7.257185198,6.915769222,6.898955574,6.997286075,7.084560591,6.922573699,7.022901828,6.46236136,6.556773093,7.039933081,7.014857935
ENSMUSG00000028670,5.206507144,5.640486805,5.050961798,5.325476263,5.367755856,5.11984249,4.985148023,5.294969417,5.452310204,5.83920076,5.702719421,5.654466485,5.241306251,5.336899948,4.643089617,4.692850439,5.108588191,5.750014858,6.086755419,6.095778746,5.55017311,5.344243787,5.469487591,5.800509406,6.188840447,5.290172072,5.549250528,5.293476236
ENSMUSG00000028671,3.697493496,3.932667556,3.56909279,4.458742794,4.037110544,3.805331867,3.684488545,3.994309939,3.825222228,2.807722528,4.33127119,3.951184017,4.332729279,4.320958404,3.738667277,3.143957193,3.043296731,2.668220767,3.975045031,4.078148852,2.679159551,4.215659581,2.537506015,3.403619254,3.646946669,3.489941584,3.495612564,3.584066364
ENSMUSG00000028672,5.126336795,4.707601001,5.014892543,5.015136143,5.296497172,4.669676767,4.47668366,4.903544475,4.90322474,4.553149701,5.068236785,5.141515229,4.942782761,4.806385231,4.561789515,4.57889425,4.731352725,4.827419361,4.568135413,4.717267123,5.031144879,5.275531037,5.031045488,5.05131751,4.940305611,4.89874713,5.528034042,4.603431689
ENSMUSG00000028673,5.488906875,5.040727302,5.425357313,4.668960502,5.221535115,5.508614335,5.041182058,5.04614887,5.101553456,5.228054327,5.387414268,5.26569464,5.069694873,5.057923998,5.194732045,4.497594148,5.468318319,5.101180174,5.103629237,5.245443598,5.707356443,5.940346845,5.707431016,5.130934678,5.323249481,5.426376456,5.245634311,5.408036
ENSMUSG00000028675,5.488906875,5.496096896,5.581476514,5.444528935,5.863081144,5.234175166,5.639819495,5.378224921,5.571773871,5.686043972,5.666874222,5.677009054,5.533262266,5.515605835,5.633174148,5.259434411,5.488081574,5.656147934,5.623783442,5.724840343,5.946931876,5.998352449,5.80527834,5.519096471,5.505902787,5.687243025,5.708606288,5.758317291
ENSMUSG00000028676,6.17364251,5.90842001,5.809143878,5.985989797,6.04799886,5.699838738,5.79454209,5.625442621,5.552537652,5.859811039,5.916233691,5.978664754,5.294255131,5.771619813,5.90447617,5.772773983,5.865838057,6.018718014,5.458724196,5.895604364,5.508047634,5.472567884,5.983065459,5.800509406,5.505902787,5.620645276,6.028647273,5.758317291
ENSMUSG00000028677,6.451010267,6.501510392,6.318442109,6.062441858,6.341444579,6.420796456,5.977988231,6.525501183,6.755433898,6.454969307,6.446748408,6.243210626,6.603127073,6.312921085,6.254164958,5.996400005,6.10219042,5.961002516,6.400741012,6.332286858,6.425585474,6.257829035,6.249580433,6.291144524,6.282860357,6.458509077,6.277766932,6.655383769
ENSMUSG00000028680,3.541374295,3.195701962,3.234673751,4.071719671,3.636572614,3.877481653,3.941646384,3.391645436,3.690921136,2.9681872,2.877553223,3.523762793,3.629122282,3.958388325,4.00785391,3.67447191,3.242605539,3.80572429,3.377804201,3.35686488,3.075088227,3.824869628,3.044466004,1.818656753,3.018915446,3.676354709,4.123643787,3.232593994
ENSMUSG00000028683,4.919885918,4.669633151,5.014892543,5.195708388,4.923453762,4.669676767,5.147115503,5.07970143,4.809102562,4.650997024,4.729030698,5.380027316,4.382482314,5.018929867,5.395779564,4.764109122,4.517227919,4.692067508,4.631560793,4.833912042,4.497321228,5.127432398,3.962003843,4.419560798,3.95180125,4.562697927,4.926951876,4.714463002
ENSMUSG00000028684,5.07030276,5.182281446,4.977898336,4.278170549,5.221535115,4.859779651,5.041182058,4.976607937,5.178859182,5.024040435,4.983347887,5.005631801,5.46562355,5.304838739,4.992423869,4.497594148,5.183226992,5.204273667,5.034916487,5.08992602,5.199416362,5.431048615,5.159943221,5.206386906,4.893384564,4.935741338,5.051131287,5.169028865
ENSMUSG00000028688,3.456485397,3.39501077,2.959039308,3.178634875,2.693156142,3.564323767,3.081824042,3.280614124,3.462652148,3.243821643,3.563444633,2.913709312,3.454035575,2.735995904,3.738667277,3.143957193,3.146390224,3.009257684,3.449953986,3.432813734,3.475626157,3.887605383,3.333972621,1.999228999,2.729408829,3.489941584,3.80877045,3.732165003
ENSMUSG00000028690,5.611763622,5.155059978,5.629975032,5.728831958,5.562572033,5.234175166,5.466487892,5.482247985,5.275883637,5.81829177,5.296505772,5.536146518,5.533262266,5.570572294,5.348082822,5.701952646,5.299636484,5.447830698,4.912580944,5.08992602,5.145477555,5.047262049,5.255362786,5.187890563,5.134392663,5.261317209,5.296708496,5.385840254
ENSMUSG00000028691,7.442758414,7.301901366,7.774506876,7.412026295,7.703522858,7.494344238,7.469043597,7.53460339,7.470360244,7.882651016,7.599543973,7.701955411,7.716585123,7.600594777,7.204809117,7.369209269,7.643760325,7.591052906,7.456536637,7.515917976,7.643120332,7.7487583,7.868894439,7.509818658,7.289670889,7.436091611,7.748134652,7.552032537
ENSMUSG00000028692,8.42750633,8.259396638,8.305436399,8.06476691,8.155107753,8.428322269,8.177123378,8.249626432,8.155143113,8.412003206,8.352581697,8.405562408,8.299120886,8.112193661,8.429113026,8.070308103,8.350455367,8.351917221,8.215229977,8.454612324,8.574615251,8.499179614,8.541060912,8.400610504,8.240136373,8.105666339,8.285689495,8.330262906
ENSMUSG00000028693,5.53103235,5.406598745,5.425357313,5.905258525,5.500511065,5.11984249,5.121352406,5.011797366,5.571773871,5.514675553,5.387414268,5.6992048,5.294255131,5.543350826,5.395779564,4.988982533,6.023118849,5.300488982,5.827111602,5.709653939,5.57078339,5.153195494,5.546966344,5.562817849,5.749308386,5.47745064,5.817540659,5.194791961
ENSMUSG00000028698,4.951250089,4.222174174,4.439032249,3.995770818,3.51627838,3.564323767,3.753201295,2.337197652,4.166259146,4.910084246,4.729030698,4.447141512,4.522207078,4.038558674,4.793115061,3.518352708,4.917765849,4.489250625,4.535345478,4.337236074,4.539756494,4.708055963,4.765311932,4.56997764,4.383912263,4.123813686,4.473586258,4.305350336
ENSMUSG00000028700,6.186878337,6.018243288,6.242493255,5.606496415,5.838206475,6.333710839,5.992272457,5.91288234,5.864750592,5.919932032,5.946448304,6.032104013,5.951050377,6.229984744,6.015507482,6.150620923,5.953745146,6.05595092,5.956588126,6.164219802,5.797554251,6.360922528,5.940630193,5.871768089,6.035217258,5.771511942,6.028647273,5.792465514
ENSMUSG00000028701,4.478180468,4.418094384,4.068663799,3.644298447,4.037110544,4.450666986,4.054856995,4.128611031,4.216012181,4.274848539,4.796934763,4.932568339,4.332729279,4.443815152,4.475632871,4.655856232,4.396933686,4.253183267,3.820322436,4.337236074,4.580979157,4.482763651,4.518397192,4.757256208,3.905258664,4.740485046,3.8774832,4.207503013
ENSMUSG00000028702,3.16697878,3.798366465,2.798574636,3.830711572,3.850697419,3.043491604,3.456219557,2.096189553,2.581296645,2.420699405,2.877553223,3.4206693,2.747766778,3.58399281,2.845582481,3.518352708,3.960834571,3.009257684,3.584255078,3.191805634,3.475626157,3.377410651,2.681895924,3.639686612,4.203340017,4.058225344,3.405414755,3.129500501
ENSMUSG00000028706,4.08451662,3.570097477,3.665308105,4.278170549,3.850697419,3.946194403,3.536389906,3.590954245,4.061289586,4.077811692,3.780256022,3.189343754,4.477119188,3.221422731,3.662718424,3.746621696,3.780262325,3.80572429,3.377804201,3.819836857,3.640685403,2.725333954,3.962003843,4.286805589,4.278302075,3.761243606,3.495612564,4.047038341
